
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       10328
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1284
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       10640
  TCP    0.0.0.0:1028           0.0.0.0:0              LISTENING       12612
  TCP    0.0.0.0:1033           0.0.0.0:0              LISTENING       10104
  TCP    0.0.0.0:1072           0.0.0.0:0              LISTENING       700
  TCP    0.0.0.0:2697           0.0.0.0:0              LISTENING       14284
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       13396
  TCP    0.0.0.0:4294           0.0.0.0:0              LISTENING       25084
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       5796
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       6008
  TCP    0.0.0.0:8765           0.0.0.0:0              LISTENING       22188
  TCP    0.0.0.0:10001          0.0.0.0:0              LISTENING       25084
  TCP    0.0.0.0:28252          0.0.0.0:0              LISTENING       11192
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       13396
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       932
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       116
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       916
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       656
  TCP    2.0.0.1:139            0.0.0.0:0              LISTENING       4
  TCP    2.0.0.1:54683          0.0.0.0:0              LISTENING       10376
  TCP    127.0.0.1:1029         127.0.0.1:1030         ESTABLISHED     10472
  TCP    127.0.0.1:1030         127.0.0.1:1029         ESTABLISHED     10472
  TCP    127.0.0.1:1031         127.0.0.1:1032         ESTABLISHED     10472
  TCP    127.0.0.1:1032         127.0.0.1:1031         ESTABLISHED     10472
  TCP    127.0.0.1:1056         127.0.0.1:1057         ESTABLISHED     13396
  TCP    127.0.0.1:1057         127.0.0.1:1056         ESTABLISHED     13396
  TCP    127.0.0.1:1058         127.0.0.1:1059         ESTABLISHED     13396
  TCP    127.0.0.1:1059         127.0.0.1:1058         ESTABLISHED     13396
  TCP    127.0.0.1:1082         127.0.0.1:1083         ESTABLISHED     15148
  TCP    127.0.0.1:1083         127.0.0.1:1082         ESTABLISHED     15148
  TCP    127.0.0.1:1084         127.0.0.1:1085         ESTABLISHED     15148
  TCP    127.0.0.1:1085         127.0.0.1:1084         ESTABLISHED     15148
  TCP    127.0.0.1:1086         127.0.0.1:1087         ESTABLISHED     15148
  TCP    127.0.0.1:1087         127.0.0.1:1086         ESTABLISHED     15148
  TCP    127.0.0.1:1088         127.0.0.1:1089         ESTABLISHED     15148
  TCP    127.0.0.1:1089         127.0.0.1:1088         ESTABLISHED     15148
  TCP    127.0.0.1:1090         127.0.0.1:1091         ESTABLISHED     15148
  TCP    127.0.0.1:1091         127.0.0.1:1090         ESTABLISHED     15148
  TCP    127.0.0.1:1092         127.0.0.1:1093         ESTABLISHED     15148
  TCP    127.0.0.1:1093         127.0.0.1:1092         ESTABLISHED     15148
  TCP    127.0.0.1:1094         127.0.0.1:55630        ESTABLISHED     15148
  TCP    127.0.0.1:2546         0.0.0.0:0              LISTENING       32644
  TCP    127.0.0.1:2595         127.0.0.1:36510        ESTABLISHED     25524
  TCP    127.0.0.1:2626         0.0.0.0:0              LISTENING       32644
  TCP    127.0.0.1:2626         127.0.0.1:2627         ESTABLISHED     32644
  TCP    127.0.0.1:2627         127.0.0.1:2626         ESTABLISHED     25524
  TCP    127.0.0.1:2628         0.0.0.0:0              LISTENING       32644
  TCP    127.0.0.1:2729         127.0.0.1:27015        SYN_SENT        11192
  TCP    127.0.0.1:4548         0.0.0.0:0              LISTENING       1428
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       10320
  TCP    127.0.0.1:8591         127.0.0.1:54630        ESTABLISHED     10472
